kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
wisata alam,Curug Cibereum,-6.7540556,106.9864083,"Curug Cibereum, Cianjur, Jawa Barat, Jawa, Indonesia",Jawa Barat,Cianjur
wisata alam,Curug Cikaso,-7.3605364,106.6176073,"Curug Cikaso, Cidahu, Kab Sukabumi, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kab Sukabumi
wisata alam,Curug Cikondang,-7.0175969,107.0963162,"Curug cikondang, Cianjur, Jawa Barat, Jawa, Indonesia",Jawa Barat,Cianjur
wisata alam,Curug Cimahi,-6.7992718,107.5777601,"Curug Cimahi, Karyawangi, Bandung Barat, Jawa Barat, Jawa, 40551, Indonesia",Jawa Barat,Bandung Barat
wisata alam,Curug Cipeuteuy,-6.5436263,107.2381787,"Aliran Sungai Curug Cigeuntis, Kp. Parakan Badak, Mekarbuana, Karawang ᮊᮛᮝᮀ, Jawa Barat, Jawa, Indonesia",Jawa Barat,Karawang ᮊᮛᮝᮀ
wisata alam,Curug Lawe,-7.1568739,110.3542113,"Curug Lawe, Ungaran, Kabupaten Semarang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Ungaran
wisata alam,Curug Malela,-7.0115742,107.2056616,"Curug Malela, Bandung Barat, Jawa Barat, Jawa, Indonesia",Jawa Barat,Bandung Barat
wisata alam,Curug Nangka,-6.6801229,106.7473054,"Curug Nangka, Tamansari, Kab Bogor, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kab Bogor
wisata alam,Curug Sawer,-6.8306568,106.9330492,"Curug Sawer, Kadudampit, Kab Sukabumi, Jawa Barat, Jawa, 43153, Indonesia",Jawa Barat,Kab Sukabumi
wisata alam,Curug Sewu,-7.0933442,110.0926959,"Curug Sewu, Patean, Kendal, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kendal
wisata alam,Danau Batur,-8.2549584,115.412108,"Danau Batur, Toya Bungkah, Bangli, Bali, Nusa Tenggara, Indonesia",Bali,Bangli
wisata alam,Danau Beratan,-8.2733484,115.1753646,"Danau Beratan, Danau, Tabanan, Bali, Nusa Tenggara, Indonesia",Bali,Tabanan
wisata alam,Danau Kaolin,-2.7381387,107.6800194,"Danau Kaolin Belitung, Mufakat, Tanjung Pandan, Belitung, Kepulauan Bangka Belitung, Sumatera, 33411, Indonesia",Kepulauan Bangka Belitung,Belitung
wisata alam,Danau Kelimutu,-6.5928061,106.8102105,"Jalan Danau Kelimutu, Bogor Tengah, Bogor, Jawa Barat, Jawa, 16129, Indonesia",Jawa Barat,Bogor
wisata alam,Danau Limboto,0.5837874,122.9926691,"Bulalo Limboto, Hutadaa, Gorontalo, Sulawesi, Indonesia",Gorontalo,Gorontalo
wisata alam,Danau Linow,1.2707806,124.826481,"Danau Linow, Lahendong, Tomohon, Sulawesi Utara, Sulawesi, Indonesia",Sulawesi Utara,Tomohon
wisata alam,Danau Maninjau,-0.3274088,100.1948056,"Danau Maninjau, Sungai Batang, Agam, Sumatera Barat, Sumatera, 26471, Indonesia",Sumatera Barat,Agam
wisata alam,Danau Matano,-2.4960014,121.3705886,"Danau Matano, Nuha, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi
wisata alam,Danau Melintang,-8.6070748,116.1082543,"Jalan Danau Melintang, Perumahan Pagutan, Kel. Pagutan Barat, Pagesangan, Mataram, Kec. Mataram, Nusa Tenggara Barat, Nusa Tenggara, 83117, Indonesia",Nusa Tenggara Barat,Mataram
wisata alam,Danau Poso,-1.9216194,120.614102,"Danau Poso, Tolambo, Poso, Sulawesi Tengah, Sulawesi, Indonesia",Sulawesi Tengah,Poso
wisata alam,Danau Rambutan,-3.016797,104.7966618,"Danau Jakabaring, Seberang Ulu II, Palembang, Rambutan, Banyuasin, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Palembang
wisata alam,Danau Ranau,-4.8858445,103.90331,"Danau Ranau, Desa Ujung, Warkuk Ranau Selatan, Lampung Barat, Lampung, Sumatera, Indonesia",Lampung,Desa Ujung
wisata alam,Danau Sebangau,-2.20636,114.004882,"Danau Tundai, Palangka Raya, Kalimantan Tengah, Kalimantan, Indonesia",Kalimantan Tengah,Palangka Raya
wisata alam,Danau Sembuluh,-2.712125,112.3774792,"Danau Sembuluh, Sembuluh II, Seruyan, Kalimantan Tengah, Kalimantan, Indonesia",Kalimantan Tengah,Seruyan
wisata alam,Danau Sentani,-2.6243128,140.5591859,"Danau Sentani, Yoboy, Jayapura, Papua, Western New Guinea, Indonesia",Papua,Jayapura
wisata alam,Danau Sentarum,0.8358796,112.1116345,"Danau Sentarum, Selimbau, Kapuas Hulu, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Kapuas Hulu
wisata alam,Danau Singkarak,-0.6167842,100.5416618,"Danau Singkarak, Sumpur, Batipuh Selatan, Tanah Datar, Sumatera Barat, Sumatera, Indonesia",Sumatera Barat,Tanah Datar
wisata alam,Danau Tamblingan,-8.2573226,115.0964432,"Danau Tamblingan, Buleleng, Bali, Nusa Tenggara, Indonesia",Bali,Buleleng
wisata alam,Danau Teluk Gelam,-3.5651185,104.7942738,"Danau Wisata Teluk Gelam, Jalan Lintas Timur, Ulak Ketapang, Teluk Gelam, Ogan Komering Ilir, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Ogan Komering Ilir
wisata alam,Danau Tempe,-4.1282039,119.9655936,"Danau Tempe, Baru Tancung, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi
wisata alam,Danau Toba,2.6108377,98.9023081,"Danau Toba, Sumatera Utara, Sumatera, Indonesia",Sumatera Utara,Sumatera
wisata alam,Danau Tondano,1.2270186,124.8890017,"Danau Tondano, Touliang Oki, Minahasa, Sulawesi Utara, Sulawesi, Indonesia",Sulawesi Utara,Sulawesi
wisata alam,Devoyage Bogor,-6.6382298,106.7951412,"Devoyage Bogor, Jalan Pabuaran, Bogor Selatan, Bogor, Jawa Barat, Jawa, 16135, Indonesia",Jawa Barat,Bogor
wisata alam,Dieng Plateau,-7.2157925,109.9065646,"Dieng Plateau, Banjarnegara, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Banjarnegara
wisata alam,Gili Air,-8.3577073,116.081162,"Gili Air, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
wisata alam,Gili Kedis,-8.7304951,116.0256309,"Gili Kedis, Lombok Barat, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Barat
wisata alam,Gili Meno,-8.3505557,116.0569626,"Gili Meno, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
wisata alam,Gili Nanggu,-8.7177365,116.0086591,"Gili Nanggu, Lombok Barat, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Barat
wisata alam,Gili Petelu,-8.8543323,116.5710632,"Gili Petelu, tanjung skuie, Jerowaru, Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,
wisata alam,Gili Sulat,-8.3284019,116.7246605,"Gili Sulat, Sambelia, Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,
wisata alam,Gili Trawangan,-8.3503396,116.0362621,"Gili Trawangan, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
wisata alam,Goa Batu,-1.8037667,115.9198139,"Goa Loyang, Gang Anugrah, Tokare, Batu Kajang, Paser, Kalimantan Timur, Kalimantan, 76252, Indonesia",Kalimantan Timur,Paser
wisata alam,Goa Gajah,-8.5235369,115.2867536,"Goa gajah, Raya Teges, Pejeng-Guliang, Bedulu, Gianyar, Bali, Nusa Tenggara, 80515, Indonesia",Bali,Gianyar
wisata alam,Goa Gong,-8.1650433,110.9800128,"Goa Gong, Pule, Bomo, Pacitan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Pacitan
wisata alam,Goa Jatijajar,-7.66984,109.4235289,"Goa Jatijajar, Jalan Candirenggo Jatijajar, Jatijajar, Kebumen, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kebumen
wisata alam,Goa Jomblang,-8.0286285,110.6382419,"Goa Jomblang, Jalan Pacarejo, Pacarejo, Semanu, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀, Daerah Istimewa Yogyakarta, Jawa, 55813, Indonesia",Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀
wisata alam,Goa Lawah,-8.5515251,115.4689715,"Pura Goa Lawah, Jalan Wibisana, Pesinggahan, Klungkung, Bali, Nusa Tenggara, 80711, Indonesia",Bali,Klungkung
wisata alam,Goa Pandawa,-7.852614,112.5010005,"Wisata Goa Pandawa, Sumberejo, Kota Batu, Jawa Timur, Jawa, 65312, Indonesia",Jawa Timur,Kota Batu
wisata alam,Goa Pindul,-7.9310483,110.6479201,"Goa Pindul, Jalan Goa Pindul, Bejiharjo, Karangmojo, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀, Daerah Istimewa Yogyakarta, Jawa, 55891, Indonesia",Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀
wisata alam,Goa Rang Reng,-8.5162049,115.3313046,"Goa Rang Reng, Angkling, Gianyar, Bali, Nusa Tenggara, 80512, Indonesia",Bali,Gianyar
wisata alam,Hutan Pinus Mangunan,-7.9228665,110.4341077,"Jalan Hutan Pinus Nganjir, Mangunan, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
wisata alam,Jembatan Mahakam,-0.5197684,117.1191352,"Jembatan Mahakam, Sungai Keledang, Samarinda Seberang, Samarinda, Kalimantan Timur, Kalimantan, 75126, Indonesia",Kalimantan Timur,Samarinda
wisata alam,Jembatan Samarinda,-0.585182,117.1095104,"Terminal Kargo & Jembatan Timbang 2,5 Loa Janan, Tani Aman, Loa Janan Ilir, Samarinda, Kalimantan Timur, Kalimantan, 75391, Indonesia",Kalimantan Timur,Samarinda
wisata alam,Jembatan Tenggarong,-0.4443046,117.0027737,"Jembatan Kartanegara, Teluk Dalam, Kutai Kartanegara, Kalimantan Timur, Kalimantan, 75572, Indonesia",Kalimantan Timur,Kutai Kartanegara
wisata alam,Kaliurang,-7.6005217,110.4256299,"Kaliurang, Hargobinangun, Pakem, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55583, Indonesia",Daerah Istimewa Yogyakarta,Hargobinangun
wisata alam,Kawah Ijen,-8.0579203,114.2417131,"Kawah Ijen, Bondowoso, Jawa Timur, Jawa, Indonesia",Jawa Timur,Bondowoso
wisata alam,Kawah Kamojang,-7.125,107.8,"Kamojang, Kawah, Kabupaten Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kabupaten Bandung
wisata alam,Kawah Putih,-7.1661181,107.4022669,"Kawah Putih, Kabupaten Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kabupaten Bandung
wisata alam,Kawah Ratu,-6.7169833,106.7128302,"Kawah Ratu, Pamijahan, Kab Bogor, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kab Bogor
wisata alam,Kawah Sikidang,-7.2197193,109.904795,"Kawah Sikidang, Karang Sari, Banjarnegara, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Banjarnegara
wisata alam,Kebun Buah Mangunan,-7.9414871,110.4248003,"Kebun Buah Mangunan, Jalan Keluar Kebun, Mangunan, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
wisata alam,Kebun Kelapa Sawit,-1.3106928,116.7461412,"Kebun Kelapa Sawit, Sungai Parit, Penajam Paser Utara, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Penajam Paser Utara
wisata alam,Kebun Raya Baturraden,-7.3055119,109.2314141,"Kebun Raya Baturraden, Jalur Pendakian Gunung Slamet via Baturaden, Baturaden, Banyumas, Jawa Tengah, Jawa, 53151, Indonesia",Jawa Tengah,Banyumas
wisata alam,Kepulauan Raja Ampat,0.3768088,131.0493911,"Kepulauan Ayu, Reni, Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia",Papua Barat Daya,Raja Ampat
wisata alam,Labuan Bajo,-8.4944201,119.8855688,"Labuan Bajo, Manggarai Barat, Nusa Tenggara Timur, Nusa Tenggara, 86754, Indonesia",Nusa Tenggara Timur,Labuan Bajo
wisata alam,Pagar Alam,-4.0209526,103.2501603,"Pagar Alam, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Pagar Alam
wisata alam,Pahawang Island,-5.6757839,105.2212726,"Pulau Puhawang, Pulau Pahawang, Pesawaran, Lampung, Sumatera, Indonesia",Lampung,Pesawaran
wisata alam,Pulau Adonara,-8.318462,123.1657963,"Pulau Adonara, Flores Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Flores Timur
wisata alam,Pulau Alor,-8.2911448,124.7777164,"Pulau Alor, Alor, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Alor
wisata alam,Pulau Ambon,-3.6422972,128.0797053,"Pulau Ambon, Maluku Tengah, Maluku, Indonesia",Maluku,Maluku Tengah
wisata alam,Pulau Asmat,-5.366667,137.733333,"Pulau Laag, Asmat, Papua Selatan, Western New Guinea, Indonesia",Papua Selatan,Asmat
wisata alam,Pulau Ayer,-5.7630948,106.5831643,"Pulau Ayer, Kepulauan Seribu, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",,Daerah Khusus ibukota Jakarta
wisata alam,Pulau Babi,-2.5679424,107.6258128,"Pulau Babi, Belitung, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Belitung
wisata alam,Pulau Bacan,-0.5840664,127.4918708,"Pulau Bacan, Halmahera Selatan, Maluku Utara, Maluku, 97791, Indonesia",Maluku Utara,Halmahera Selatan
wisata alam,Pulau Bangka,1.7907213,125.1554826,"Pulau Bangka, Lihunu, Minahasa Utara, Sulawesi Utara, Sulawesi, Indonesia",Sulawesi Utara,Minahasa Utara
wisata alam,Pulau Batanta,-0.8377267,130.7068469,"Pulau Batanta, Raja Ampat, Papua Barat Daya, Western New Guinea, 98484, Indonesia",Papua Barat Daya,Raja Ampat
wisata alam,Pulau Berau,2.1399777,118.5395082,"Pulau Kakaban, Maratua Payung-payung, Berau, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Berau
wisata alam,Pulau Besar,-2.883333,106.133333,"Pulau Besar, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Sumatera
wisata alam,Pulau Binongko,-5.9546218,124.0210187,"Pulau Binongko, Waloindi, Wakatobi, Sulawesi Tenggara, Sulawesi, Indonesia",Sulawesi Tenggara,Wakatobi
wisata alam,Pulau Buru,-3.4591432,126.6562293,"Pulau Buru, Maluku, Indonesia",Maluku,Maluku
wisata alam,Pulau Cempedak,-2.6328869,110.1204135,"Pulau Cempedak, Kendawangan Kiri, Kendawangan, Ketapang, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Ketapang
wisata alam,Pulau Derawan,2.2841235,118.2435287,"Pulau Derawan, Berau, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Berau
