kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
bukit,Bukit Cinta Bali,-8.4262117,115.6086959,"Bukit Cinta, Jalan Serma Natih, Amlapura, Kecamatan Karangasem, Karangasem, Bali, Nusa Tenggara, 80811, Indonesia",Bali,Karangasem
wisata alam,Bukit Cinta,-7.9145615,112.9390159,"Bukit Cinta, Pasuruan, Jawa Timur, Jawa, 67254, Indonesia",Jawa Timur,Pasuruan
bukit,Bukit Doa Tomohon,1.3493247,124.8503698,"Bukit Doa, Bukit Doa Mahawu Pathway, Tomohon, Sulawesi Utara, Sulawesi, 95362, Indonesia",Sulawesi Utara,Tomohon
bukit,Bukit Gajah Bobok,2.8993456,98.5111159,"Bukit Gajah Bobok, Karo, Sumatera Utara, Sumatera, 22173, Indonesia",Sumatera Utara,Karo
wisata alam,Bukit Holbung,2.5338138,98.7010689,"Bukit Holbung, Hariara Pohan, Samosir, Sumatera Utara, Sumatera, Indonesia",Sumatera Utara,Samosir
bukit,Bukit Holbung Samosir,2.5338138,98.7010689,"Bukit Holbung, Hariara Pohan, Samosir, Sumatera Utara, Sumatera, Indonesia",Sumatera Utara,Samosir
wisata alam,Bukit Klangon,-7.5767676,110.454776,"Bukit Klangon, Setapak, Kalitengah Lor, Glagah Harjo, Cangkringan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55583, Indonesia",Daerah Istimewa Yogyakarta,Glagah Harjo
bukit,Bukit Klangon Sleman,-7.5767676,110.454776,"Bukit Klangon, Setapak, Kalitengah Lor, Glagah Harjo, Cangkringan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55583, Indonesia",Daerah Istimewa Yogyakarta,Glagah Harjo
wisata alam,Bukit Kuneer,-7.8133895,112.6339012,"Bukit Kuneer, Jalur Pendakian Gunung Arjuno via Lawang, Kabupaten Malang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Malang
bukit,Bukit Kuneer Malang,-7.8133895,112.6339012,"Bukit Kuneer, Jalur Pendakian Gunung Arjuno via Lawang, Kabupaten Malang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Malang
bukit,Bukit Lawang Sumatera Utara,3.5493172,98.1224445,"Bukit Lawang, Langkat, Sumatera Utara, Sumatera, 20852, Indonesia",Sumatera Utara,Langkat
bukit,Bukit Lintang Sewu,-7.915055,110.4357959,"Bukit Lintang Sewu, Muntuk, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
bukit,Bukit Panguk Kediwung,-7.9597565,110.4405654,"Bukit Panguk Kediwung - sunrise, Kedungjati Bridge, Selopamioro, Imogiri, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
bukit,Bukit Punthuk Setumbu,-7.6074102,110.1778383,"Bukit Punthuk Setumbu, Jalan Salaman - Mungkid, Kembanglimus, Magelang, Jawa Tengah, Jawa, 56553, Indonesia",Jawa Tengah,Magelang
wisata alam,Bukit Rhema,-7.6054797,110.1826028,"Bukit Rhema (Chicken Church), Jalan Salaman - Mungkid, Kembanglimus, Magelang, Jawa Tengah, Jawa, 56553, Indonesia",Jawa Tengah,Magelang
bukit,Bukit Rhema Magelang,-7.6054797,110.1826028,"Bukit Rhema (Chicken Church), Jalan Salaman - Mungkid, Kembanglimus, Magelang, Jawa Tengah, Jawa, 56553, Indonesia",Jawa Tengah,Magelang
bukit,Bukit Selong Lombok Timur,-8.365312,116.5400179,"Bukit Selong, Jalan Raya Ambarita, Sembalun Lawang, Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, 83656, Indonesia",Nusa Tenggara Barat,
wisata alam,Bukit Jempol,-3.8120142,103.6703499,"Bukit Serelo, Tanjung Menang, Merapi Selatan, Lahat, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Lahat
wisata alam,Bukit Sikunir,-7.2387021,109.9250284,"Bukit Sikunir, Sembungan, Wonosobo, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Wonosobo
bukit,Bukit Tangkiling Palangkaraya,-1.9881028,113.7504103,"Bukit Tangkiling, Palangka Raya, Kalimantan Tengah, Kalimantan, Indonesia",Kalimantan Tengah,Palangka Raya
wisata alam,Bukit Tinggi,-3.3295279,101.8358215,"Bukit Tinggi, Bengkulu Utara, Bengkulu, Sumatera, Indonesia",Bengkulu,Bengkulu Utara
kebun binatang,Taman Margasatwa dan Budaya Kinantan,-0.3006639,100.3698926,"Bukittinggi Kinantan Zoo, Kampuang Cino, Benteng Pasa Ateh, Bukittinggi, Sumatera Barat, Sumatera, Indonesia",Sumatera Barat,Bukittinggi
wisata alam,Danau Limboto,0.5837874,122.9926691,"Bulalo Limboto, Hutadaa, Gorontalo, Sulawesi, Indonesia",Gorontalo,Gorontalo
