nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
Candi Singosari,-7.8877283,112.6638852,"Candi Singosari, Jalan Kertanegara, Rogonoto, Candirenggo, Kabupaten Malang, Jawa Timur, Jawa, 65153, Indonesia",Jawa Timur,Kabupaten Malang
Candi Wringin Lawang,-7.5419685,112.3909512,"Candi Wringin Lawang, Jalan Raya Trowulan, Jatipasar, Trowulan, Mojokerto, Jawa Timur, Jawa, 61362, Indonesia",Jawa Timur,Mojokerto
Air Terjun Coban Rondo,-7.8847333,112.4769702,"Coban Rondo, Kabupaten Malang, Jawa Timur, Jawa, 65912, Indonesia",Jawa Timur,Kabupaten Malang
Curug Benowo,-7.1577708,110.3572378,"Curug Benowo, Kendal, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kendal
Curug Cibereum,-6.7540556,106.9864083,"Curug Cibereum, Cianjur, Jawa Barat, Jawa, Indonesia",Jawa Barat,Cianjur
Curug Cikaso,-7.3605364,106.6176073,"Curug Cikaso, Cidahu, Kab Sukabumi, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kab Sukabumi
Curug Cikondang,-7.0175969,107.0963162,"Curug cikondang, Cianjur, Jawa Barat, Jawa, Indonesia",Jawa Barat,Cianjur
Curug Cimahi,-6.7992718,107.5777601,"Curug Cimahi, Karyawangi, Bandung Barat, Jawa Barat, Jawa, 40551, Indonesia",Jawa Barat,Bandung Barat
Curug Lawe,-7.1568739,110.3542113,"Curug Lawe, Ungaran, Kabupaten Semarang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Ungaran
Curug Malela,-7.0115742,107.2056616,"Curug Malela, Bandung Barat, Jawa Barat, Jawa, Indonesia",Jawa Barat,Bandung Barat
Curug Nangka,-6.6801229,106.7473054,"Curug Nangka, Tamansari, Kab Bogor, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kab Bogor
Curug Sawer,-6.8306568,106.9330492,"Curug Sawer, Kadudampit, Kab Sukabumi, Jawa Barat, Jawa, 43153, Indonesia",Jawa Barat,Kab Sukabumi
Curug Sewu,-7.0933442,110.0926959,"Curug Sewu, Patean, Kendal, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kendal
Danau Batur,-8.2549584,115.412108,"Danau Batur, Toya Bungkah, Bangli, Bali, Nusa Tenggara, Indonesia",Bali,Bangli
Danau Beratan,-8.2733484,115.1753646,"Danau Beratan, Danau, Tabanan, Bali, Nusa Tenggara, Indonesia",Bali,Tabanan
Danau Rambutan,-3.016797,104.7966618,"Danau Jakabaring, Seberang Ulu II, Palembang, Rambutan, Banyuasin, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Palembang
Danau Kaolin,-2.7381387,107.6800194,"Danau Kaolin Belitung, Mufakat, Tanjung Pandan, Belitung, Kepulauan Bangka Belitung, Sumatera, 33411, Indonesia",Kepulauan Bangka Belitung,Belitung
Danau Linow,1.2707806,124.826481,"Danau Linow, Lahendong, Tomohon, Sulawesi Utara, Sulawesi, Indonesia",Sulawesi Utara,Tomohon
Danau Ranau,-4.8858445,103.90331,"Danau Ranau, Desa Ujung, Warkuk Ranau Selatan, Lampung Barat, Lampung, Sumatera, Indonesia",Lampung,Desa Ujung
Danau Sembuluh,-2.712125,112.3774792,"Danau Sembuluh, Sembuluh II, Seruyan, Kalimantan Tengah, Kalimantan, Indonesia",Kalimantan Tengah,Seruyan
Danau Sentarum,0.8358796,112.1116345,"Danau Sentarum, Selimbau, Kapuas Hulu, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Kapuas Hulu
